"key";"en";"de";"creationDate";"modificationDate";
"Default";"Default";"Standard";1460395362;1460395362;
"Dangers";"Dangers";"Dangers";1460395362;1460395362;
"1 Column";"1 Column";"1 Spalte";1460395362;1460395362;
"2 Columns (33:66)";"2 Columns (33:66)";"2 Spalten (33:66)";1460395362;1460395362;
"2 Columns (66:33)";"2 Columns (66:33)";"2 Spalten (66:33)";1460395362;1460395362;
"2 Columns (25:75)";"2 Columns (25:75)";"2 Spalten (25:75)";1460395362;1460395362;
"2 Columns (75:25)";"2 Columns (75:25)";"2 Spalten (75:25)";1460395362;1460395362;
"2 Columns (50:50)";"2 Columns (50:50)";"2 Spalten (50:50)";1460395362;1460395362;
"3 Columns (33:33:33)";"3 Columns (33:33:33)";"3 Spalten (33:33:33)";1460395362;1460395362;
"Equal heights?";"Equal heights?";"Gleiche Höhe?";1460395362;1460395362;
"Additional";"Additional";"Zusatz";1460395362;1460395362;
"Headline Size";"Headline Size";"Headline Grösse";1460395362;1460395362;
"Headline 1";"Headline 1";"Headline 1";1460395362;1460395362;
"Headline 2";"Headline 2";"Headline 2";1460395362;1460395362;
"Headline 3";"Headline 3";"Headline 3";1460395362;1460395362;
"Headline 4";"Headline 4";"Headline 4";1460395362;1460395362;
"Headline 5";"Headline 5";"Headline 5";1460395362;1460395362;
"Headline 6";"Headline 6";"Headline 6";1460395362;1460395362;
"Type";"Type";"Typ";1460395362;1460395362;
"Image";"Image";"Bild";1460395362;1460395362;
"Images or Folder";"Images or Folder";"Bilder oder Ordner";1460395362;1460395362;
"Snippet";"Snippet";"Snippet";1460395362;1460395362;
"min. window height";"min. window height";"mind. Fensterhöhe";1460395362;1460395362;
"Space before & after separator";"Space before & after separator";"Abstand vor & nach Trennlinie";1460395362;1460395362;
"Direct";"Direct";"Direkt";1460395362;1460395362;
"use Lightbox?";"use Lightbox?";"Lightbox verwenden?";1460395362;1460395362;
"use Lightbox";"use Lightbox";"Lightbox verwenden";1460395362;1460395362;
"use Thumbnails";"use Thumbnails";"Thumbnails anzeigen";1460395362;1460395362;
"Image";"Image";"Bild";1460395362;1460395362;
"Toolbox Image";"Toolbox Image";"Toolbox Image";1460395362;1460395362;
"Headline";"Headline";"Headline";1460395362;1460395362;
"Toolbox Headline";"Toolbox Headline";"Toolbox Headline";1460395362;1460395362;
"Gallery";"Gallery";"Galerie";1460395362;1460395362;
"Toolbox Galerie";"Toolbox Galerie";"Toolbox Galerie";1460395362;1460395362;
"Download";"Download";"Download";1460395362;1460395362;
"Toolbox Downloads";"Toolbox Downloads";"Toolbox Downloads";1460395362;1460395362;
"WYSIWYG Editor";"WYSIWYG Editor";"WYSIWYG Editor";1460395362;1460395362;
"Toolbox wysiwyg";"Toolbox wysiwyg";"Toolbox Texteditor";1460395362;1460395362;
"Container";"Container";"Container";1460395362;1460395362;
"Toolbox Container";"Toolbox Container";"Toolbox Container";1460395362;1460395362;
"Columns";"Columns";"Spalten";1460395362;1460395362;
"Toolbox Grid Columns";"Toolbox Grid Columns";"Toolbox Grid Columns";1460395362;1460395362;
"Accordion";"Accordion";"Akkordeon";1460395362;1460395362;
"Toolbox Accordion";"Toolbox Accordion";"Toolbox Akkordeon";1460395362;1460395362;
"Teaser";"Teaser";"Teaser";1460395362;1460395362;
"Toolbox Teaser";"Toolbox Teaser";"Toolbox Teaser";1460395362;1460395362;
"Separator";"Separator";"Separator";1460395362;1460395362;
"Toolbox Separator";"Toolbox Separator";"Toolbox Trennline";1460395362;1460395362;
"Snippet";"Snippet";"Snippet";1460395362;1460395362;
"Toolbox Snippet";"Toolbox Snippet";"Toolbox Snippet";1460395362;1460395362;
"Parallax Container";"Parallax Container";"Parallax Container";1460395362;1460395362;
"Toolbox Parallax Container";"Toolbox Parallax Container";"Toolbox Parallax Container";1460395362;1460395362;
"Video";"Video";"Video";1460395362;1460395362;
"Toolbox Video";"Toolbox Video";"Toolbox Video";1460395362;1460395362;
"Link List";"Link List";"Link Liste";1460395362;1460395362;
"Toolbox Link List";"Toolbox Link List";"Toolbox Link Liste";1460395362;1460395362;
"Display Caption";"Display Caption";"Bild-Untertext anzeigen";1460395362;1460395362;
"Medium";"Medium";"Mittel";1460395362;1460395362;
"Large";"Large";"Hoch";1460395362;1460395362;
"Toolbox Gallery";"Toolbox Gallery";"Toolbox Gallery";1460395362;1460395362;
"Extra CSS-Class";"Extra CSS-Class";"Extra CSS-Klassen";1460395362;1460395362;
"Files";"Files";"Dateien";1460395362;1460395362;
"Default Page";"Default Page";"Standardseite";1460395362;1460395362;
"Home Page";"Home Page";"Startseite";1460395362;1460395362;

